"ProbeID","CodeClass","GeneName.x","Accession","IsControl","ControlConc","MF_vs_eMF","MF_vs_D","eMF_vs_D","eMF_vs_HS","MF_vs_HS","AveExpr","F","P.Value","adj.P.Val","GeneName.y"
"Endogenous_COL3A1_NM_000090.3","Endogenous","COL3A1","NM_000090.3",FALSE,NA,0.167821817750662,-0.782883147982728,-0.95070496573339,-0.923331628754022,-0.75550981100336,13.1542716804995,9.74018540412913,7.8170378208093e-06,1.39787029266237e-05,"COL3A1"
"Endogenous_C1QA_NM_015991.2","Endogenous","C1QA","NM_015991.2",FALSE,NA,0.116633273419998,0.453714216429828,0.33708094300983,1.20876912355169,1.32540239697169,8.34374896642738,9.73633665187923,7.8526784355897e-06,1.40094732653713e-05,"C1QA"
"Endogenous_CYP3A4_NM_017460.5","Endogenous","CYP3A4","NM_017460.5",FALSE,NA,0.84027361634869,0.389090205085038,-0.451183411263652,-1.40912799625936,-0.568854379910665,3.57140303752517,9.72020093185382,8.00390179235538e-06,1.42458205203515e-05,"CYP3A4"
"Endogenous_CD151_NM_139029.1","Endogenous","CD151","NM_139029.1",FALSE,NA,-0.184283583038687,-0.434507184147513,-0.250223601108826,0.253991583763244,0.0697080007245567,7.3575469076708,9.68688904425108,8.32550404722522e-06,1.47836053175027e-05,"CD151"
"Endogenous_TXN_NM_003329.2","Endogenous","TXN","NM_003329.2",FALSE,NA,-0.3275753536529,-0.622823332056919,-0.295247978404019,0.189889365824408,-0.137685987828492,10.7151452044398,9.67919908117129,8.40158736296438e-06,1.48839309926642e-05,"TXN"
"Endogenous_NOX1_NM_007052.4","Endogenous","NOX1","NM_007052.4",FALSE,NA,-0.814936832420605,-0.0121088751514566,0.802827957269149,1.44740536775198,0.632468535331372,3.8309830964526,9.64711926265393,8.7266583280028e-06,1.54238612308887e-05,"NOX1"
"Endogenous_CXCR2_NM_001168298.1","Endogenous","CXCR2","NM_001168298.1",FALSE,NA,-0.279706165606205,-0.39923268291895,-0.119526517312745,1.03866950185913,0.758963336252921,4.97791862467606,9.58657800075605,9.37528839926247e-06,1.65318310520638e-05,"CXCR2"
"Endogenous_THBD_NM_000361.2","Endogenous","THBD","NM_000361.2",FALSE,NA,-0.18362977917077,-0.600750407791256,-0.417120628620486,-0.339525961049835,-0.523155740220606,8.96107116304777,9.5672132971836,9.59290934017871e-06,1.6876414579944e-05,"THBD"
"Endogenous_KIAA0101_NM_014736.5","Endogenous","KIAA0101","NM_014736.5",FALSE,NA,0.00294613178987779,-0.229360744605394,-0.232306876395272,1.04873581225727,1.05168194404715,3.48895431399112,9.55317902834041,9.75382031977519e-06,1.71198693834391e-05,"KIAA0101"
"Endogenous_FZD4_NM_012193.2","Endogenous","FZD4","NM_012193.2",FALSE,NA,0.466790734244049,0.175442125544919,-0.29134860869913,-1.13804821624881,-0.671257482004759,6.66087207990289,9.53473527697231,9.96945651716549e-06,1.74580344540225e-05,"FZD4"
"Endogenous_COL4A1_NM_001845.4","Endogenous","COL4A1","NM_001845.4",FALSE,NA,0.302200199547944,-0.414178836176896,-0.71637903572484,0.147657621272607,0.449857820820551,9.14021667934485,9.52495497514589,1.00857573683022e-05,1.76210933331257e-05,"COL4A1"
"Endogenous_CXCL1_NM_001511.1","Endogenous","CXCL1","NM_001511.1",FALSE,NA,-0.458813337273645,-0.63390843330991,-0.175095096036266,2.03931582651677,1.58050248924313,5.79026519276597,9.49675760379863,1.04288173829578e-05,1.81786725024035e-05,"CXCL1"
"Endogenous_SIGLEC5_NM_003830.2","Endogenous","SIGLEC5","NM_003830.2",FALSE,NA,0.0583121522097603,0.250885843816794,0.192573691607034,1.18428289139887,1.24259504360863,3.96267354306584,9.47983870031793,1.06403120967025e-05,1.85048906029609e-05,"SIGLEC5"
"Endogenous_CASP10_NM_001230.4","Endogenous","CASP10","NM_001230.4",FALSE,NA,-0.14631837193587,0.188235402575932,0.334553774511802,0.485750366278302,0.339431994342433,7.00055323469715,9.44163130672981,1.11340588078706e-05,1.93193714474467e-05,"CASP10"
"Endogenous_SOCS1_NM_003745.1","Endogenous","SOCS1","NM_003745.1",FALSE,NA,-0.00537085869500231,0.683355678088981,0.688726536783983,0.0383062146663145,0.0329353559713121,6.5357705365633,9.41124037408829,1.15433310512183e-05,1.99838988586012e-05,"SOCS1"
"Endogenous_PHLDA2_NM_003311.3","Endogenous","PHLDA2","NM_003311.3",FALSE,NA,-0.73226024383598,-0.716793303184905,0.0154669406510752,0.98992170563333,0.25766146179735,4.33945672110617,9.34552152091502,1.24812801769652e-05,2.15585748511218e-05,"PHLDA2"
"Endogenous_CCL14_NM_032963.3","Endogenous","CCL14","NM_032963.3",FALSE,NA,0.190118188119869,-0.120151952128313,-0.310270140248182,-1.50358651597041,-1.31346832785055,7.34309546028017,9.34087863115701,1.25503953394136e-05,2.16287992243862e-05,"CCL14"
"Endogenous_CCL1_NM_002981.1","Endogenous","CCL1","NM_002981.1",FALSE,NA,0.153142545700854,0.721161642511853,0.568019096810999,2.0212967892575,2.17443933495836,3.81413475839614,9.3287503451435,1.27327753897511e-05,2.18934599461784e-05,"CCL1"
"Endogenous_RGS16_NM_002928.2","Endogenous","RGS16","NM_002928.2",FALSE,NA,0.439553656329656,0.697312255454563,0.257758599124906,0.669595144317434,1.10914880064709,4.82267300167393,9.27107118204119,1.36375881534756e-05,2.33963137621704e-05,"RGS16"
"Endogenous_CAMP_NM_004345.3","Endogenous","CAMP","NM_004345.3",FALSE,NA,-0.469178007513841,-0.11605593594217,0.353122071571671,1.38884644033388,0.919668432820043,3.88682981409729,9.20638152381391,1.47301855217921e-05,2.5193541724623e-05,"CAMP"
"Endogenous_RAPGEF4_NM_007023.3","Endogenous","RAPGEF4","NM_007023.3",FALSE,NA,0.160885988083453,-0.308146106604685,-0.469032094688138,-0.948494376733531,-0.787608388650078,6.24347682580227,9.20516950950484,1.47514816677069e-05,2.5193541724623e-05,"RAPGEF4"
"Endogenous_CLEC7A_NM_197954.2","Endogenous","CLEC7A","NM_197954.2",FALSE,NA,0.206390078860125,0.591877778469827,0.385487699609702,0.646738569008883,0.853128647869008,5.85942875107538,9.16629582534128,1.54513305079469e-05,2.63296214933624e-05,"CLEC7A"
"Endogenous_COL15A1_NM_001855.2","Endogenous","COL15A1","NM_001855.2",FALSE,NA,0.512040291227904,-0.135829398704595,-0.647869689932499,-0.509431810578603,0.00260848064930119,7.80087751732672,9.15674498440463,1.56283653466019e-05,2.65717173678243e-05,"COL15A1"
"Endogenous_CD1A_NM_001763.2","Endogenous","CD1A","NM_001763.2",FALSE,NA,-0.569417577013031,0.342767268736011,0.912184845749042,1.52879172616207,0.959374149149037,6.85498424310842,9.14359986369755,1.58753903500543e-05,2.69314657724136e-05,"CD1A"
"Endogenous_BMP8A_NM_181809.3","Endogenous","BMP8A","NM_181809.3",FALSE,NA,0.936069099643134,0.586187836040224,-0.34988126360291,0.245414947877081,1.18148404752021,4.20833488795456,9.13126620249855,1.61107632512939e-05,2.72698887995175e-05,"BMP8A"
"Endogenous_SEMA5A_NM_003966.2","Endogenous","SEMA5A","NM_003966.2",FALSE,NA,0.333733069926164,0.00990483955193433,-0.32382823037423,-0.90257141447139,-0.568838344545226,6.27133855982467,8.95024357392113,2.00018894562399e-05,3.37809688594273e-05,"SEMA5A"
"Endogenous_CRIP1_NM_001311.4","Endogenous","CRIP1","NM_001311.4",FALSE,NA,0.73250399573844,0.674305516364292,-0.0581984793741483,-0.0346024128731024,0.697901582865338,11.232664079539,8.89960650920276,2.12520461638086e-05,3.58127607195e-05,"CRIP1"
"Endogenous_VAMP2_NM_014232.2","Endogenous","VAMP2","NM_014232.2",FALSE,NA,-0.249441982122564,0.119423265139405,0.368865247261969,0.422934343195402,0.173492361072839,9.02361077517499,8.83658435703222,2.29192066927252e-05,3.84562229552826e-05,"VAMP2"
"Endogenous_FLNB_NM_001164317.1","Endogenous","FLNB","NM_001164317.1",FALSE,NA,-0.107942376460999,-0.35554768653873,-0.247605310077731,-0.165840439497568,-0.273782815958567,8.49731953378626,8.83648515131356,2.29219328930829e-05,3.84562229552826e-05,"FLNB"
"Endogenous_CTSL_NM_001912.4","Endogenous","CTSL","NM_001912.4",FALSE,NA,0.385512411717722,-0.516603083821584,-0.902115495539306,-0.741836942641235,-0.356324530923513,6.78611142002632,8.81799904592064,2.34357137214294e-05,3.9231591251732e-05,"CTSL"
"Endogenous_STAT5B_NM_012448.3","Endogenous","STAT5B","NM_012448.3",FALSE,NA,0.22511643749869,0.336439925284096,0.111323487785406,-0.140555600312989,0.084560837185701,7.36875760522521,8.73483779912282,2.58952583481603e-05,4.32536183397843e-05,"STAT5B"
"Endogenous_RHOJ_NM_020663.4","Endogenous","RHOJ","NM_020663.4",FALSE,NA,-0.502513232315666,-0.328203962959761,0.174309269355905,-0.356751552674234,-0.859264784989899,4.98974204510602,8.69100157150566,2.72954046525107e-05,4.54923410875179e-05,"RHOJ"
"Endogenous_IL17RC_NM_153461.2","Endogenous","IL17RC","NM_153461.2",FALSE,NA,0.329448487373787,-0.164021410305923,-0.49346989767971,-0.371873209943276,-0.0424247225694891,7.34777498999942,8.52244123883902,3.34328052547031e-05,5.55994135526791e-05,"IL17RC"
"Endogenous_NOX3_NM_015718.2","Endogenous","NOX3","NM_015718.2",FALSE,NA,-0.56924705715427,-0.0242771985816068,0.544969858572663,1.62316985871972,1.05392280156545,3.01974222504156,8.5079038365856,3.40236052611553e-05,5.6458384276153e-05,"NOX3"
"Endogenous_TEP1_NM_007110.3","Endogenous","TEP1","NM_007110.3",FALSE,NA,0.0751031284810182,0.266380436689262,0.191277308208244,0.427451549438092,0.50255467791911,5.80183529937729,8.49272897046732,3.46515975646329e-05,5.73751942246646e-05,"TEP1"
"Endogenous_CCL26_NM_006072.4","Endogenous","CCL26","NM_006072.4",FALSE,NA,0.145333623755365,-0.509875148658837,-0.655208772414202,1.08172636308395,1.22705998683931,4.45792609008747,8.46217547375155,3.59518668578993e-05,5.93987365478337e-05,"CCL26"
