# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).																				
# The Matrix table should include non-normalized signal count data and detectip p-value																				
"# Values that should be disregarded may either be left blank or labeled as ""null""."																				
	GSM998606		GSM998607		GSM998608		GSM998609		GSM998610		GSM998611		GSM998612		GSM998613		GSM998614		GSM998615	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	SAMPLE 9	Detection Pval	SAMPLE 10	Detection Pval
ILMN_1749001	78.09887	0.01208054	142.7077	0	92.78738	0	148.0851	0	200.1044	0	155.4939	0	195.0151	0	151.6351	0	212.1858	0	130.7299	0
ILMN_1701551	84.50382	0	73.21103	0.1260163	76.53831	0.06174497	83.61646	0.001347709	91.87131	0	100.2196	0	127.2877	0	102.4464	0	105.9673	0	97.078	0
ILMN_1795507	96.29165	0	101.8189	0	85.0881	0	99.50687	0	94.13974	0	100.5505	0	114.78	0	115.6814	0	93.01268	0	120.2048	0
ILMN_1729894	58.29502	0.6456376	64.49142	0.5528455	59.1589	0.7704698	63.92584	0.5997304	53.82396	1	65.70656	0.7219973	60.31935	0.8274933	55.43725	0.9298246	57.47768	0.8855586	71.11401	0.3834688
ILMN_1743205	155.9399	0	186.3207	0	251.9187	0	245.7891	0	358.0756	0	318.3886	0	373.2433	0	231.8655	0	351.6953	0	333.5875	0
ILMN_2259319	70.93371	0.08187919	73.01653	0.1300813	66.65339	0.3651007	70.58733	0.2277628	61.01888	1	66.99806	0.6693657	61.98041	0.7641509	66.58064	0.3873144	72.64684	0.1648501	65.87907	0.6571816
ILMN_2129886	65.07095	0.2630872	72.06184	0.1490515	62.03721	0.6134228	71.65938	0.1846361	54.43406	1	74.71686	0.2887989	66.01467	0.5619946	64.56133	0.4979757	52.26034	0.9836512	64.5154	0.7127371
ILMN_1796801	80.40259	0.002684564	76.56595	0.04878049	64.68494	0.4684564	72.91781	0.148248	92.47366	0	109.1737	0	182.3196	0	204.3215	0	118.6688	0	73.22391	0.302168
ILMN_1720501	63.13773	0.3463087	77.04917	0.0406504	75.65421	0.07248322	100.1755	0	95.07046	0	117.0746	0	108.2804	0	125.3339	0	118.8532	0	94.73135	0
ILMN_1668446	60.50811	0.4979866	69.18226	0.2710027	64.87167	0.4536913	56.52816	0.9285714	69.86829	0	76.19636	0.2226721	67.36784	0.4730458	60.65963	0.7246963	73.66857	0.1389646	73.57497	0.2926829
ILMN_1812070	78.67015	0.01208054	79.6309	0.02168022	63.88519	0.5060403	65.22874	0.5026954	82.29469	0	86.14133	0.04048583	84.45541	0.02156334	73.42982	0.1093117	72.58501	0.1662125	87.39315	0.0203252
ILMN_2094875	66.20583	0.2214765	66.76691	0.4119241	70.81633	0.1771812	69.87413	0.2439353	68.69653	0	73.58117	0.3346829	66.77723	0.5161725	60.38599	0.7341431	63.39025	0.5871935	65.75395	0.6612466
ILMN_1665730	112.1721	0	106.2999	0	106.1629	0	96.63951	0	128.6438	0	206.6157	0	208.0838	0	189.745	0	149.7555	0	170.6758	0
ILMN_2232066	79.74457	0.008053691	67.89565	0.3428184	62.59555	0.5879195	75.40436	0.0902965	67.27115	0	76.50068	0.2132254	74.64439	0.1495957	76.70271	0.05937922	86.46283	0	78.63409	0.1531165
ILMN_1767349	51.54138	0.9194631	51.25316	0.9878049	58.51031	0.8013423	68.40932	0.3180593	53.09439	1	60.46805	0.9109312	85.11796	0.01886792	83.4854	0.01214575	63.63933	0.5831063	68.1373	0.5338753
ILMN_1658257	54.74493	0.8228188	59.12164	0.8414634	57.47495	0.8362416	75.66322	0.08221024	52.3669	1	75.07458	0.2672065	60.53991	0.8113208	61.27057	0.6977058	56.412	0.9155313	61.85965	0.8306233
ILMN_2193980	277.4695	0	226.9489	0	194.363	0	221.0012	0	351.129	0	439.0553	0	329.1996	0	602.4399	0	294.8793	0	588.2188	0
ILMN_1687840	152.1374	0	143.1079	0	139.3801	0	175.7315	0	203.892	0	295.9586	0	226.7607	0	202.8432	0	215.0132	0	227.6408	0
ILMN_2102422	63.67043	0.3208054	76.66915	0.04607046	72.93685	0.114094	70.16045	0.2345013	78.37415	0	83.72669	0.06207827	81.37486	0.04177897	81.55859	0.01889339	92.53504	0	102.8867	0
ILMN_1788928	74.24973	0.04295302	84.53557	0	77.82018	0.04161074	77.84465	0.04716981	64.39429	0	76.89481	0.2105263	69.48919	0.3463612	63.49572	0.5492578	53.42111	0.9659401	86.0731	0.03116531
ILMN_2343047	99.74603	0	123.105	0	90.11375	0	131.4553	0	131.2547	0	135.0049	0	111.0305	0	107.123	0	135.3745	0	135.0055	0
ILMN_2343048	114.0525	0	118.8921	0	100.2305	0	153.6115	0	149.9788	0	157.2754	0	153.5106	0	163.5238	0	169.0827	0	172.9856	0
ILMN_2335302	73.82056	0.0442953	63.58422	0.600271	69.56598	0.2147651	67.56313	0.3477089	57.15812	1	66.08051	0.705803	72.92778	0.1981132	80.00526	0.02968961	59.78518	0.8024523	75.72798	0.2222222
ILMN_1802404	146.5886	0	123.0047	0	107.5732	0	106.5964	0	110.3334	0	168.0063	0	121.0012	0	196.7535	0	132.116	0	299.8835	0
ILMN_1776119	123.4317	0	117.1487	0	115.3391	0	115.6675	0	122.3002	0	185.5045	0	169.4684	0	150.231	0	135.7505	0	151.1939	0
ILMN_2358714	56.44105	0.747651	59.0919	0.8441734	55.16586	0.9087248	60.21984	0.7951483	54.4589	1	64.46835	0.7692308	59.31855	0.8652291	58.93847	0.805668	63.87217	0.5735695	54.12534	0.9932249
ILMN_1732140	70.25938	0.09395973	71.0743	0.1883469	75.71941	0.07248322	77.14278	0.05660377	78.65325	0	81.3147	0.1133603	79.40237	0.07816712	69.95332	0.2307692	72.5219	0.1662125	90.40562	0.006775068
ILMN_1713008	69.65491	0.1087248	78.40154	0.02845529	83.95268	0.002684564	101.0444	0	79.86473	0	79.81774	0.1376518	92.27448	0	77.40012	0.05398111	71.56815	0.1866485	77.88804	0.1639566
ILMN_1762093	67.29811	0.1758389	74.13934	0.101626	67.02239	0.3355705	78.63544	0.03908356	71.06622	0	78.37538	0.1659919	88.60323	0	84.30013	0.008097166	77.3975	0.06811989	79.00163	0.1476965
ILMN_1709092	55.58032	0.7852349	65.41174	0.49729	59.94809	0.7315436	71.17516	0.1967655	61.1838	0	96.18644	0	87.84034	0	73.52962	0.1039136	63.77988	0.5776567	71.95028	0.3550135
ILMN_1678409	72.41019	0.05771812	76.74488	0.04607046	85.78895	0	80.64629	0.01212938	69.50597	0	76.86944	0.2105263	76.10593	0.1253369	70.92429	0.1929825	77.2619	0.07084469	73.35435	0.299458
ILMN_1774344	71.55934	0.06845637	99.33077	0	88.00309	0	78.37702	0.04312668	82.05077	0	87.14534	0.03103914	74.90432	0.1442049	94.59433	0	83.41877	0.006811989	88.27154	0.01761518
ILMN_1676278	75.39458	0.03355705	77.31097	0.03929539	76.46191	0.06174497	82.35129	0.005390835	73.8612	0	98.98115	0	76.15543	0.1239892	98.26952	0	72.89628	0.153951	86.81844	0.02574526
ILMN_1717466	62.07538	0.4080537	76.4492	0.0501355	63.64898	0.5208054	68.8544	0.2911051	64.96214	0	72.92912	0.363023	74.88409	0.1442049	78.48488	0.04048583	78.66539	0.05040872	61.4705	0.8468835
ILMN_1677814	420.8842	0	267.8584	0	308.8825	0	415.7401	0	453.0252	0	1090.145	0	1088.049	0	1612.895	0	571.3507	0	458.6471	0
ILMN_1788457	107.8949	0	99.38599	0	90.66998	0	100.2026	0	117.9061	0	213.0405	0	173.9165	0	235.5926	0	219.212	0	123.9416	0
ILMN_2194009	83.72147	0	64.35789	0.5596206	67.36705	0.3181208	73.87424	0.1253369	89.89651	0	117.7642	0	123.7286	0	147.45	0	158.0348	0	100.7139	0
ILMN_2302358	56.27325	0.757047	62.31764	0.6842818	53.13436	0.9583893	68.90234	0.2884097	66.73439	0	72.21586	0.3940621	63.32713	0.6967655	68.97055	0.2793522	69.54619	0.2506812	70.43544	0.4214092
ILMN_1706531	270.6922	0	356.2191	0	234.6553	0	319.6761	0	331.357	0	920.9949	0	596.1873	0	825.2116	0	319.6285	0	480.3717	0
ILMN_1651964	215.7575	0	176.3932	0	165.4177	0	230.5212	0	232.3746	0	796.0009	0	417.5609	0	791.6923	0	246.5963	0	315.5759	0
ILMN_1725675	62.42459	0.3744966	60.03241	0.7913279	67.63779	0.3100671	61.07727	0.7654986	63.95317	0	70.54741	0.4831309	73.45235	0.1819407	66.17059	0.414305	66.41822	0.4277929	64.77303	0.7046071
ILMN_1778352	63.15633	0.3463087	69.47134	0.2520325	61.39716	0.6510067	63.9411	0.5970351	58.11228	1	65.86467	0.7179487	72.27472	0.2183288	58.75209	0.8124157	67.85857	0.3392371	73.59067	0.2926829
ILMN_1725414	51.02206	0.9302014	57.52346	0.8875339	59.86654	0.7315436	53.32954	0.9703504	67.64616	0	77.73656	0.1821862	65.94279	0.5714286	80.0554	0.02968961	74.28738	0.119891	77.15741	0.1897019
ILMN_2293902	42.78489	1	58.61939	0.8590786	58.73042	0.7879195	52.03989	0.9824798	53.29116	1	57.50374	0.9554656	55.89852	0.9663073	53.0378	0.9689609	58.39159	0.8474115	56.5	0.9701897
ILMN_1801521	56.44691	0.747651	60.99104	0.7574525	56.14384	0.8791946	61.76931	0.7385445	66.39194	0	86.85564	0.03103914	65.21023	0.6172507	61.85826	0.6720648	70.98659	0.1989101	78.80756	0.1504065
ILMN_2406654	64.35017	0.2993289	91.33747	0	89.20724	0	79.75148	0.02830189	88.57286	0	102.2262	0	85.2698	0.01752022	90.45647	0	95.7063	0	105.1078	0
ILMN_1767129	62.05773	0.409396	61.5588	0.7235773	63.4488	0.5315436	65.6819	0.4703504	72.56923	0	76.76967	0.2118758	60.70385	0.8072776	57.70107	0.8461539	75.10874	0.1089918	66.27569	0.6395664
ILMN_1751453	60.53563	0.4979866	67.13609	0.3915989	68.2091	0.2845638	67.15286	0.37062	59.85392	1	91.31651	0.008097166	76.56167	0.1199461	66.18449	0.414305	79.14311	0.03814714	62.48226	0.8089431
ILMN_1746196	62.67479	0.3651007	75.05547	0.0799458	60.478	0.7073826	58.84346	0.861186	57.94946	1	67.77074	0.6248313	72.74441	0.203504	82.80236	0.0148448	70.76904	0.2016349	65.81847	0.6612466
ILMN_2366473	53.00534	0.8818792	66.19579	0.4471545	64.11195	0.4926175	67.53758	0.3477089	69.75897	0	70.90949	0.4574899	71.50498	0.2479784	63.25925	0.5735493	64.93231	0.5027248	68.16666	0.5325204
ILMN_1772189	73.55242	0.0442953	79.66083	0.02168022	86.49814	0	73.24443	0.1428571	77.62868	0	133.3826	0	101.2517	0	80.25198	0.02968961	97.80607	0	99.40199	0
ILMN_1652959	56.7575	0.7315436	78.83618	0.02303523	59.42857	0.757047	56.96631	0.9150943	67.6296	0	85.6801	0.04453441	72.08573	0.2250674	80.72689	0.02564103	70.59795	0.2084469	68.50375	0.5094851
ILMN_2198897	62.37841	0.3785235	59.49644	0.8224932	56.95923	0.8536913	57.40027	0.9056604	60.48091	1	78.1202	0.1727395	73.8746	0.171159	58.36105	0.8151147	62.74104	0.626703	65.00201	0.693767
ILMN_1674032	162.5246	0	133.3872	0	129.449	0	126.1505	0	169.9397	0	271.7374	0	231.2475	0	223.1513	0	171.9429	0	217.4264	0
ILMN_1737656	71.19623	0.07516778	86.1539	0	72.88898	0.1154362	79.37751	0.02964959	58.9395	1	67.30193	0.6518219	73.59627	0.180593	71.61314	0.1605938	73.24789	0.147139	73.47205	0.298103
ILMN_2343917	72.45464	0.05637584	84.80373	0	75.36584	0.07651006	71.5559	0.1859838	72.12108	0	72.08279	0.3994602	79.27878	0.08086254	76.8694	0.05668016	75.59528	0.09536785	78.56724	0.1531165
ILMN_1746032	54.51683	0.8295302	68.49582	0.3143632	59.13242	0.7704698	75.89629	0.0768194	59.63442	1	78.93627	0.1484481	75.66351	0.1374663	68.83887	0.2874494	83.32303	0.006811989	82.74771	0.06639566
ILMN_1651501	76.40523	0.02550336	87.53623	0	74.18279	0.08859061	87.00135	0	73.88247	0	91.44494	0.006747638	98.88174	0	98.78381	0	82.31441	0.01362398	87.67519	0.0203252
ILMN_2330267	375.7537	0	285.2728	0	259.5683	0	259.6439	0	366.0147	0	541.0566	0	472.2538	0	618.1837	0	341.0224	0	563.2338	0
ILMN_1676846	352.3945	0	342.9144	0	197.2245	0	271.6892	0	362.5693	0	505.3167	0	434.263	0	553.0978	0	322.5459	0	587.6886	0
ILMN_2392635	760.2407	0	634.303	0	632.8804	0	567.4379	0	717.1349	0	1137.417	0	791.8408	0	841.0594	0	663.3932	0	1064.48	0
ILMN_1763875	1919.311	0	1539.922	0	1617.069	0	1409.631	0	1583.221	0	2152.084	0	1663.088	0	1721.102	0	1620.168	0	2172.232	0
ILMN_2284941	63.60716	0.3275168	68.30721	0.3197832	59.61042	0.7463087	84.68864	0	100.7718	0	131.3391	0	104.9238	0	64.21369	0.5168691	105.273	0	90.19382	0.006775068
ILMN_1781999	326.9974	0	286.541	0	243.0378	0	194.2586	0	225.9662	0	517.889	0	251.3057	0	358.5518	0	245.5555	0	507.9086	0
ILMN_1669201	132.5763	0	113.8284	0	112.4186	0	103.2541	0	112.0344	0	134.4504	0	108.9298	0	152.4711	0	132.6936	0	191.7709	0
