# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_1725414	54.42059	0.7496671	64.63358	0.6331995	67.97755	0.3092369	62.16359	0.5433912	61.73685	0.6122994	59.70704	0.7119785
ILMN_2293902	53.83191	0.7802929	66.37358	0.5448461	58.70778	0.7965194	66.92046	0.3004005	47.61103	0.9959893	61.37242	0.6137281
ILMN_1801521	46.95277	0.9840213	64.89227	0.6211513	67.77425	0.3159304	61.79689	0.5607477	59.18243	0.7513369	62.0481	0.5773889
ILMN_2406654	75.41161	0.01198402	79.12289	0.1044177	96.25912	0	99.80131	0	89.60367	0	91.77673	0
ILMN_1767129	70.43938	0.05992011	82.76331	0.05220884	64.63979	0.4832664	69.00024	0.2149533	72.04202	0.1390374	77.22823	0.03095558
ILMN_1751453	67.82781	0.09587217	90.45263	0.002677376	82.27866	0.0227577	84.34122	0	65.15646	0.4304813	71.03391	0.1763123
ILMN_1746196	66.0795	0.1304927	73.8604	0.2141901	64.73475	0.4752343	60.91686	0.6248331	69.39678	0.2433155	72.22058	0.141319
ILMN_2366473	55.12408	0.7177097	73.14119	0.2396252	72.82002	0.1472557	64.50394	0.4192256	69.35452	0.2459893	78.33025	0.02557201
ILMN_1772189	84.01553	0	168.9119	0	339.3074	0	101.126	0	104.4661	0	148.8547	0
ILMN_1652959	65.44097	0.1478029	73.84724	0.2168675	69.79221	0.2369478	74.91128	0.05740988	66.4195	0.3649733	81.65724	0.01615074
ILMN_2198897	59.59039	0.4580559	62.712	0.729585	65.83791	0.4056225	76.69809	0.04539386	59.72609	0.7179145	59.22808	0.7442799
ILMN_1674032	86.1461	0	140.1357	0	101.8008	0	107.0887	0	102.4885	0	92.02833	0
ILMN_1737656	66.98233	0.1091878	74.73861	0.2021419	68.144	0.3038822	75.17546	0.05473965	67.28516	0.315508	79.82587	0.02153432
ILMN_2343917	70.92103	0.05326232	83.93505	0.03748327	82.85493	0.02141901	70.87411	0.1602136	80.80972	0.02005348	79.90431	0.02153432
ILMN_1746032	57.43774	0.5765646	78.21704	0.1218206	73.63282	0.124498	66.2403	0.3271028	66.25497	0.368984	70.76466	0.1816958
ILMN_1651501	94.83867	0	94.11161	0	113.2882	0	89.23011	0	100.7736	0	81.4906	0.01615074
ILMN_2330267	128.0877	0	496.0109	0	163.9235	0	297.7192	0	226.2874	0	235.3555	0
ILMN_1676846	140.9928	0	480.776	0	180.352	0	315.6035	0	229.8047	0	269.7864	0
ILMN_2392635	227.6315	0	939.4771	0	624.7204	0	507.8408	0	627.7482	0	309.1456	0
ILMN_1763875	560.1945	0	2552.643	0	1579.32	0	1522.171	0	1582.872	0	1170.82	0
ILMN_2284941	63.85099	0.207723	129.4179	0	82.82915	0.02141901	56.23387	0.846462	78.24757	0.03342246	76.77541	0.03633916
ILMN_1781999	78.67368	0	379.4472	0	209.1046	0	152.8183	0	183.805	0	190.4305	0
ILMN_1669201	60.06779	0.424767	137.0517	0	78.58009	0.04685408	93.44221	0	101.0681	0	100.9097	0
